Export, WINMM.dll
Ordinal	Address	Name
0000009E	76B599D4	sndPlaySoundA
0000009F	76B59998	sndPlaySoundW
000000A0	76B53727	tid32Message
000000A1	76B4A4F4	timeBeginPeriod
000000A2	76B4A5B5	timeEndPeriod
000000A3	76B41C5E	timeGetDevCaps
000000A4	76B59A3D	timeGetSystemTime
000000A5	76B41B40	timeGetTime
000000A6	76B4AB43	timeKillEvent
000000A7	76B4A89A	timeSetEvent
000000A8	76B5A47F	waveInAddBuffer
000000A9	76B5A2D8	waveInClose
000000AA	76B4CC75	waveInGetDevCapsA
000000AB	76B467A7	waveInGetDevCapsW
000000AC	76B59FFC	waveInGetErrorTextA
000000AD	76B5A2A3	waveInGetErrorTextW
000000AE	76B5A671	waveInGetID
000000AF	76B43F72	waveInGetNumDevs
000000B0	76B5A591	waveInGetPosition
000000B1	76B46763	waveInMessage
000000B2	76B46ACA	waveInOpen
000000B3	76B5A387	waveInPrepareHeader
000000B4	76B5A54B	waveInReset
000000B5	76B5A4E1	waveInStart
000000B6	76B5A516	waveInStop
000000B7	76B5A3F7	waveInUnprepareHeader
000000B8	76B5A08C	waveOutBreakLoop
000000B9	76B425CC	waveOutClose
000000BA	76B4CE10	waveOutGetDevCapsA
000000BB	76B446EA	waveOutGetDevCapsW
000000BC	76B59FFC	waveOutGetErrorTextA
000000BD	76B5A2A3	waveOutGetErrorTextW
000000BE	76B5A6B5	waveOutGetID
000000BF	76B43DF7	waveOutGetNumDevs
000000C0	76B5A10D	waveOutGetPitch
000000C1	76B5A18E	waveOutGetPlaybackRate
000000C2	76B5A0C1	waveOutGetPosition
000000C3	76B4C4BF	waveOutGetVolume
000000C4	76B443CA	waveOutMessage
000000C5	76B42057	waveOutOpen
000000C6	76B5A022	waveOutPause
000000C7	76B4283C	waveOutPrepareHeader
000000C8	76B4A0F6	waveOutReset
000000C9	76B5A057	waveOutRestart
000000CA	76B5A157	waveOutSetPitch
000000CB	76B5A1D8	waveOutSetPlaybackRate
000000CC	76B59F07	waveOutSetVolume
000000CD	76B424B8	waveOutUnprepareHeader
000000CE	76B4278E	waveOutWrite
000000CF	76B5458F	wid32Message
000000D0	76B514F1	winmmDbgOut
000000D1	76B514A2	winmmSetDebugLevel
000000D2	76B54364	wod32Message
000000D2	76B49E1A

