Export, KERNEL32.dll
Ordinal	Address	Name
00000093	77ECB2CB	EnumDateFormatsExW
00000094	77E63C9E	EnumDateFormatsW
00000095	77EC92F6	EnumLanguageGroupLocalesA
00000096	77ECB267	EnumLanguageGroupLocalesW
00000097	77EB71D0	EnumResourceLanguagesA
00000098	77E9B67B	EnumResourceLanguagesW
00000099	77E9A9BE	EnumResourceNamesA
0000009A	77EAF6E2	EnumResourceNamesW
0000009B	77EB7002	EnumResourceTypesA
0000009C	77EB7306	EnumResourceTypesW
0000009D	77EC9326	EnumSystemCodePagesA
0000009E	77ECB281	EnumSystemCodePagesW
0000009F	77ECB676	EnumSystemGeoID
000000A0	77EC92E0	EnumSystemLanguageGroupsA
000000A1	77ECB251	EnumSystemLanguageGroupsW
000000A2	77E6363B	EnumSystemLocalesA
000000A3	77E9C50F	EnumSystemLocalesW
000000A4	77EC929A	EnumTimeFormatsA
000000A5	77E63D78	EnumTimeFormatsW
000000A6	77EC9310	EnumUILanguagesA
000000A7	77E9747B	EnumUILanguagesW
000000A8	77EB21D2	EnumerateLocalComputerNamesA
000000A9	77EB2059	EnumerateLocalComputerNamesW
000000AA	77EC0AAE	EraseTape
000000AB	77EBBCCC	EscapeCommFunction
000000AC	77E75CB5	ExitProcess
000000AD	77E73C49	ExitThread
000000AE	77EBD7E8	ExitVDM
000000AF	77E668D9	ExpandEnvironmentStringsA
000000B0	77E7152C	ExpandEnvironmentStringsW
000000B1	77EC5613	ExpungeConsoleCommandHistoryA
000000B2	77EC5605	ExpungeConsoleCommandHistoryW
000000B3	77EB6ED2	ExtendVirtualBuffer
000000B4	77EB8503	FatalAppExitA
000000B5	77EB84BB	FatalAppExitW
000000B6	77EB854B	FatalExit
000000B7	77E73E18	FileTimeToDosDateTime
000000B8	77E794BF	FileTimeToLocalFileTime
000000B9	77E79424	FileTimeToSystemTime
000000BA	77E9AE22	FillConsoleOutputAttribute
000000BB	77EC7478	FillConsoleOutputCharacterA
000000BC	77E9BF1A	FillConsoleOutputCharacterW
000000BD	77E70AC9	FindActCtxSectionGuid
000000BE	77EC101E	FindActCtxSectionStringA
000000BF	77E6E449	FindActCtxSectionStringW
000000C0	77E64BAA	FindAtomA
000000C1	77E98B86	FindAtomW
000000C2	77E78EAA	FindClose
000000C3	77E67997	FindCloseChangeNotification
000000C4	77E9C2E2	FindFirstChangeNotificationA
000000C5	77E6789C	FindFirstChangeNotificationW
000000C6	77E75D9E	FindFirstFileA
000000C7	77EB4F29	FindFirstFileExA
000000C8	77E78848	FindFirstFileExW
000000C9	77E78A39	FindFirstFileW
000000CA	77EBFD2B	FindFirstVolumeA
000000CB	77EBF8B5	FindFirstVolumeMountPointA
000000CC	77EBEA7F	FindFirstVolumeMountPointW
000000CD	77E96A62	FindFirstVolumeW
000000CE	77E66A40	FindNextChangeNotification
000000CF	77E75E67	FindNextFileA
000000D0	77E7F2C4	FindNextFileW
000000D1	77EBF7C8	FindNextVolumeA
000000D2	77EBF9B6	FindNextVolumeMountPointA
000000D3	77EBECCF	FindNextVolumeMountPointW
000000D4	77E967BE	FindNextVolumeW
000000D5	77E6CA8A	FindResourceA
000000D6	77E6E5A0	FindResourceExA
000000D7	77E7614C	FindResourceExW
000000D8	77E710D8	FindResourceW
000000D9	77E9678D	FindVolumeClose
000000DA	77E67997	FindVolumeMountPointClose
000000DB	77EC7D16	FlushConsoleInputBuffer
000000DC	77E73FF9	FlushFileBuffers
000000DD	77E64C09	FlushInstructionCache
000000DE	77E67228	FlushViewOfFile
000000DF	77EC9A12	FoldStringA
000000E0	77E9AB72	FoldStringW
000000E1	77E76A60	FormatMessageA
000000E2	77E7F295	FormatMessageW
000000E3	77EC5E29	FreeConsole
000000E4	77E9C5B1	FreeEnvironmentStringsA
000000E5	77E7C9E1	FreeEnvironmentStringsW
000000E6	77E80618	FreeLibrary
000000E7	77E6D93D	FreeLibraryAndExitThread
000000E8	77E6CB14	FreeResource
000000E9	77EB6A5D	FreeUserPhysicalPages
000000EA	77E7F1E1	FreeVirtualBuffer
000000EB	77EC7C51	GenerateConsoleCtrlEvent
000000EC	77E7A13F	GetACP
000000ED	77E9C5CF	GetAtomNameA
000000EE	77E6D4ED	GetAtomNameW
000000EF	77EBDFF8	GetBinaryType
000000F0	77EBDFF8	GetBinaryTypeA
000000F1	77EBDC36	GetBinaryTypeW
000000F2	77E7849F	GetCPInfo
000000F3	77EC9B79	GetCPInfoExA
000000F4	77ECCA21	GetCPInfoExW
000000F5	77EC93A1	GetCalendarInfoA
000000F6	77E637A3	GetCalendarInfoW
000000F7	77EC11B0	GetComPlusPackageInstallStatus
000000F8	77EBCFEF	GetCommConfig
000000F9	77EBBD9D	GetCommMask
000000FA	77EBBE1F	GetCommModemStatus
000000FB	77EBBEA1	GetCommProperties
000000FC	77EBBF52	GetCommState
000000FD	77E980CD	GetCommTimeouts
000000FE	77E7C938	GetCommandLineA
000000FF	77E7C9DB	GetCommandLineW
00000100	77EB5C48	GetCompressedFileSizeA
00000101	77EB5B3E	GetCompressedFileSizeW
00000102	77E65F4C	GetComputerNameA
00000103	77EB1F67	GetComputerNameExA
00000104	77E69BD7	GetComputerNameExW
00000105	77E6C324	GetComputerNameW
00000106	77EC51CA	GetConsoleAliasA
00000107	77EC556C	GetConsoleAliasExesA
00000108	77EC5308	GetConsoleAliasExesLengthA
00000109	77EC5300	GetConsoleAliasExesLengthW
0000010A	77EC555A	GetConsoleAliasExesW
0000010B	77EC51A5	GetConsoleAliasW
0000010C	77EC5448	GetConsoleAliasesA
0000010D	77EC5299	GetConsoleAliasesLengthA
0000010E	77EC528B	GetConsoleAliasesLengthW
0000010F	77EC5432	GetConsoleAliasesW
00000110	77EC80CC	GetConsoleCP
00000111	77EC8D93	GetConsoleCharType
00000112	77EC58CE	GetConsoleCommandHistoryA
00000113	77EC5783	GetConsoleCommandHistoryLengthA
00000114	77EC5775	GetConsoleCommandHistoryLengthW
00000115	77EC58B8	GetConsoleCommandHistoryW
00000116	77EC78A5	GetConsoleCursorInfo
00000117	77EC8670	GetConsoleCursorMode
00000118	77E62F09	GetConsoleDisplayMode
00000119	77EC7A58	GetConsoleFontInfo
0000011A	77EC7B45	GetConsoleFontSize
0000011B	77EC64A6	GetConsoleHardwareState
0000011C	77EC5B63	GetConsoleInputExeNameA
0000011D	77EC598C	GetConsoleInputExeNameW
0000011E	77EC62A8	GetConsoleInputWaitHandle
0000011F	77EC82AC	GetConsoleKeyboardLayoutNameA
00000120	77EC82BA	GetConsoleKeyboardLayoutNameW
00000121	77E79540	GetConsoleMode
00000122	77EC8BDA	GetConsoleNlsMode
00000123	77E795BF	GetConsoleOutputCP
00000124	77EC8319	GetConsoleProcessList
00000125	77E80121	GetConsoleScreenBufferInfo
00000126	77EC7942	GetConsoleSelectionInfo
00000127	77E621AB	GetConsoleTitleA
00000128	77E77255	GetConsoleTitleW
00000129	77EC82C8	GetConsoleWindow
0000012A	77EC9798	GetCurrencyFormatA
0000012B	77ECD4A3	GetCurrencyFormatW
0000012C	77E9B4C9	GetCurrentActCtx
0000012D	77EC7BAF	GetCurrentConsoleFont
0000012E	77E705FC	GetCurrentDirectoryA
0000012F	77E79E1E	GetCurrentDirectoryW
00000130	77E79C90	GetCurrentProcess
00000131	77E80656	GetCurrentProcessId
00000132	77E73163	GetCurrentThread
00000133	77E77CC4	GetCurrentThreadId
00000134	77E64006	GetDateFormatA
00000135	77E7F849	GetDateFormatW
00000136	77EBCDA8	GetDefaultCommConfigA
00000137	77EBCCEE	GetDefaultCommConfigW
00000138	77ECE1FC	GetDefaultSortkeySize
00000139	77EB8397	GetDevicePowerState
0000013A	77E6869B	GetDiskFreeSpaceA
0000013B	77E686CC	GetDiskFreeSpaceExA
0000013C	77E807B9	GetDiskFreeSpaceExW
0000013D	77E68564	GetDiskFreeSpaceW
0000013E	77E6C0E3	GetDriveTypeA
0000013F	77E77E16	GetDriveTypeW
00000140	77E67702	GetEnvironmentStrings
00000141	77E67702	GetEnvironmentStringsA
00000142	77E77EE1	GetEnvironmentStringsW
00000143	77E7AC5E	GetEnvironmentVariableA
00000144	77E78147	GetEnvironmentVariableW
00000145	77E7FF65	GetExitCodeProcess
00000146	77E6C9E0	GetExitCodeThread
00000147	77EBB268	GetExpandedNameA
00000148	77EBB2F1	GetExpandedNameW
00000149	77E74CAB	GetFileAttributesA
0000014A	77E73DF8	GetFileAttributesExA
0000014B	77E738C5	GetFileAttributesExW
0000014C	77E78536	GetFileAttributesW
0000014D	77E72EA0	GetFileInformationByHandle
0000014E	77E793EF	GetFileSize
0000014F	77E793B7	GetFileSizeEx
00000150	77E73CE2	GetFileTime
00000151	77E78406	GetFileType
00000152	77EB68DA	GetFirmwareEnvironmentVariableA
00000153	77EB67FB	GetFirmwareEnvironmentVariableW
00000154	77E80357	GetFullPathNameA
00000155	77E781DB	GetFullPathNameW
00000156	77EC9338	GetGeoInfoA
00000157	77ECB361	GetGeoInfoW
00000158	77EC0F94	GetHandleContext
00000159	77EB6B2A	GetHandleInformation
0000015A	77EC84FF	GetLargestConsoleWindowSize
0000015B	77E8885E	GetLastError
0000015C	77ECE21C	GetLinguistLangSize
0000015D	77E70F89	GetLocalTime
0000015E	77E7513C	GetLocaleInfoA
0000015F	77E78723	GetLocaleInfoW
00000160	77E96645	GetLogicalDriveStringsA
