Export, SHELL32.dll
Ordinal	Address	Name
0000015D	774BAEB4	SheRemoveQuotesW
0000015E	774AC4E2	SheSetCurDrive
0000015F	774BB3F9	SheShortenPathA
00000160	774BAF10	SheShortenPathW
00000161	7749E413	ShellAboutA
00000162	7749E3DB	ShellAboutW
00000163	774E488B	ShellExec_RunDLL
00000164	774E488B	ShellExec_RunDLLA
00000165	774E48CD	ShellExec_RunDLLW
00000166	77428B97	ShellExecuteA
00000167	77428A75	ShellExecuteEx
00000168	77428A75	ShellExecuteExA
00000169	77418369	ShellExecuteExW
0000016A	774D79F9	ShellExecuteW
0000016B	774C9290	ShellHookProc
0000016C	7742B69B	Shell_NotifyIcon
0000016D	7742B69B	Shell_NotifyIconA
0000016E	77413B3B	Shell_NotifyIconW
0000016F	77597C7A	StrChrA
00000170	77597C80	StrChrIA
00000171	77597C86	StrChrIW
00000172	77597C8C	StrChrW
00000173	77597C92	StrCmpNA
00000174	77597C98	StrCmpNIA
00000175	77597C9E	StrCmpNIW
00000176	77597CA4	StrCmpNW
00000177	774ABB86	StrCpyNA
00000178	774ABB4C	StrCpyNW
00000179	774ABC3A	StrNCmpA
0000017A	774ABD11	StrNCmpIA
0000017B	774ABCAB	StrNCmpIW
0000017C	774ABBBB	StrNCmpW
0000017D	774ABDC6	StrNCpyA
0000017E	774ABD82	StrNCpyW
0000017F	77597CAA	StrRChrA
00000180	77597CB0	StrRChrIA
00000181	77597CB6	StrRChrIW
00000182	77597CBC	StrRChrW
00000183	774ABE75	StrRStrA
00000184	77597CC2	StrRStrIA
00000185	77597CC8	StrRStrIW
00000186	774ABE0F	StrRStrW
00000187	77597CCE	StrStrA
00000188	77597CD4	StrStrIA
00000189	77597CDA	StrStrIW
0000018A	77597CE0	StrStrW
0000018B	774E4740	WOWShellExecute
000000BF	77401641
000000C0	77431D7B
000000C1	77401F2C
000000C2	774347A1
000000C3	773FDE36
000000C4	774F1306
000000C5	774F1301
000000C6	774B3900
000000C7	774B2B77
000000C8	774B3428
000000C9	774EBD36
000000CA	774B2E00
000000CB	774EBCD7
000000CC	774D8F77
000000CD	773F2E58
000000CE	773F3651
000000CF	773F2D87
000000D0	773F373F
000000D1	774D8EC6
000000D2	773F70D2
000000D3	774D2641
000000D4	773F7EA8
000000D5	773F7F61
000000D6	773F2DEC
000000D7	77405CE5
000000D8	774000D2
000000D9	773F51FC
000000DA	774A6D48
000000DB	7741DBCF
000000DC	774A6D00
000000DD	774A6D36
000000DE	774A6D0C
000000DF	774A6D3C
000000E0	774A6D18
