Export, USER32.dll
Ordinal	Address	Name
00000099	77D97109	DestroyReasons
0000009A	77D49A11	DestroyWindow
0000009B	77D90108	DeviceEventWorker
0000009C	77D6B406	DialogBoxIndirectParamA
0000009D	77D4F593	DialogBoxIndirectParamAorW
0000009E	77D64C0D	DialogBoxIndirectParamW
0000009F	77D650B3	DialogBoxParamA
000000A0	77D529CE	DialogBoxParamW
000000A1	77D7BDD9	DisableProcessWindowsGhosting
000000A2	77D441F2	DispatchMessageA
000000A3	77D43DC5	DispatchMessageW
000000A4	77D8FFC8	DisplayExitWindowsWarnings
000000A5	77D940CD	DlgDirListA
000000A6	77D8E9BF	DlgDirListComboBoxA
000000A7	77D8EA45	DlgDirListComboBoxW
000000A8	77D94154	DlgDirListW
000000A9	77D8EA6F	DlgDirSelectComboBoxExA
000000AA	77D8E970	DlgDirSelectComboBoxExW
000000AB	77D942B2	DlgDirSelectExA
000000AC	77D94311	DlgDirSelectExW
000000AD	77D99378	DragDetect
000000AE	77D99387	DragObject
000000AF	77D99396	DrawAnimatedRects
000000B0	77D7334D	DrawCaption
000000B1	77D98D7F	DrawCaptionTempA
000000B2	77D8CD9F	DrawCaptionTempW
000000B3	77D5CA86	DrawEdge
000000B4	77D492E9	DrawFocusRect
000000B5	77D60138	DrawFrame
000000B6	77D5CE6E	DrawFrameControl
000000B7	77D5E700	DrawIcon
000000B8	77D49F75	DrawIconEx
000000B9	77D5BC73	DrawMenuBar
000000BA	77D94FB2	DrawMenuBarTemp
000000BB	77D65495	DrawStateA
000000BC	77D4E9C4	DrawStateW
000000BD	77D5C7A1	DrawTextA
000000BE	77D5C7D1	DrawTextExA
000000BF	77D46941	DrawTextExW
000000C0	77D476C3	DrawTextW
000000C1	77D60299	EditWndProc
000000C2	77D6BB30	EmptyClipboard
000000C3	77D4C1B3	EnableMenuItem
000000C4	77D66C25	EnableScrollBar
000000C5	77D4816D	EnableWindow
000000C6	77D4A3BC	EndDeferWindowPos
000000C7	77D4F5CB	EndDialog
000000C8	77D993C3	EndMenu
000000C9	77D458FD	EndPaint
000000CA	77D900BC	EndTask
000000CB	77D969AA	EnterReaderModeHelper
000000CC	77D4763D	EnumChildWindows
000000CD	77D5E55B	EnumClipboardFormats
000000CE	77D5264A	EnumDesktopWindows
000000CF	77D6FEEE	EnumDesktopsA
000000D0	77D52663	EnumDesktopsW
000000D1	77D564EC	EnumDisplayDevicesA
000000D2	77D4BFBA	EnumDisplayDevicesW
000000D3	77D47AFF	EnumDisplayMonitors
000000D4	77D565FE	EnumDisplaySettingsA
000000D5	77D56620	EnumDisplaySettingsExA
000000D6	77D5429B	EnumDisplaySettingsExW
000000D7	77D54353	EnumDisplaySettingsW
000000D8	77D8DB65	EnumPropsA
000000D9	77D8DB8D	EnumPropsExA
000000DA	77D8DBA3	EnumPropsExW
000000DB	77D8DB79	EnumPropsW
000000DC	77D5D390	EnumThreadWindows
000000DD	77D6FEA3	EnumWindowStationsA
000000DE	77D79438	EnumWindowStationsW
000000DF	77D47627	EnumWindows
000000E0	77D474CB	EqualRect
000000E1	77D5D591	ExcludeUpdateRgn
000000E2	77D902E3	ExitWindowsEx
000000E3	77D463A6	FillRect
000000E4	77D4BDCA	FindWindowA
000000E5	77D651AF	FindWindowExA
000000E6	77D510CC	FindWindowExW
000000E7	77D4BA62	FindWindowW
000000E8	77D8E231	FlashWindow
000000E9	77D993DF	FlashWindowEx
000000EA	77D5D225	FrameRect
000000EB	77D708BA	FreeDDElParam
000000EC	77D48146	GetActiveWindow
000000ED	77D98E7D	GetAltTabInfo
000000EE	77D98E7D	GetAltTabInfoA
000000EF	77D8F82B	GetAltTabInfoW
000000F0	77D4AF8B	GetAncestor
000000F2	77D48E7F	GetAppCompatFlags
000000F1	77D44353	GetAppCompatFlags2
000000F3	77D4932C	GetAsyncKeyState
000000F4	77D48207	GetCapture
000000F5	77D4BAF8	GetCaretBlinkTime
000000F6	77D993FD	GetCaretPos
000000F7	77D5D8BA	GetClassInfoA
000000F8	77D5289B	GetClassInfoExA
000000F9	77D526D0	GetClassInfoExW
000000FA	77D4B5C5	GetClassInfoW
000000FB	77D5D359	GetClassLongA
000000FC	77D49C7B	GetClassLongW
000000FD	77D5C2CC	GetClassNameA
000000FE	77D4A25E	GetClassNameW
000000FF	77D6EF20	GetClassWord
00000100	77D45F23	GetClientRect
00000101	77D99419	GetClipCursor
00000102	77D5E38C	GetClipboardData
00000103	77D5E787	GetClipboardFormatNameA
00000104	77D6B754	GetClipboardFormatNameW
00000105	77D5C010	GetClipboardOwner
00000106	77D5D218	GetClipboardSequenceNumber
00000107	77D9940C	GetClipboardViewer
00000108	77D7BC84	GetComboBoxInfo
00000109	77D5BCA6	GetCursor
0000010A	77D4F6B1	GetCursorFrameInfo
0000010B	77D99428	GetCursorInfo
0000010C	77D46349	GetCursorPos
0000010D	77D45F40	GetDC
0000010E	77D47DD0	GetDCEx
0000010F	77D47E92	GetDesktopWindow
00000110	77D5E23E	GetDialogBaseUnits
00000111	77D46450	GetDlgCtrlID
00000112	77D48AA8	GetDlgItem
00000113	77D725C6	GetDlgItemInt
00000114	77D6274F	GetDlgItemTextA
00000115	77D4BBB5	GetDlgItemTextW
00000116	77D47F27	GetDoubleClickTime
00000117	77D44532	GetFocus
00000118	77D4456B	GetForegroundWindow
00000119	77D4CB7B	GetGUIThreadInfo
0000011A	77D79485	GetGuiResources
0000011B	77D4A04A	GetIconInfo
0000011C	77D8E269	GetInputDesktop
0000011D	77D5D578	GetInputState
0000011E	77D99437	GetInternalWindowPos
0000011F	77D9384E	GetKBCodePage
00000120	77D79E35	GetKeyNameTextA
00000121	77D8F814	GetKeyNameTextW
00000122	77D4808B	GetKeyState
00000123	77D48EA4	GetKeyboardLayout
00000124	77D48EB2	GetKeyboardLayoutList
00000125	77D6D2F7	GetKeyboardLayoutNameA
00000126	77D76A2E	GetKeyboardLayoutNameW
00000127	77D5D18C	GetKeyboardState
00000128	77D6E1D6	GetKeyboardType
00000129	77D5C19D	GetLastActivePopup
0000012A	77D4CDED	GetLastInputInfo
0000012B	77D99631	GetLayeredWindowAttributes
0000012C	77D99446	GetListBoxInfo
0000012D	77D5BC10	GetMenu
0000012E	77D5EBDE	GetMenuBarInfo
0000012F	77D77DCA	GetMenuCheckMarkDimensions
00000130	77D94F9D	GetMenuContextHelpId
00000131	77D5183E	GetMenuDefaultItem
00000132	77D8E591	GetMenuInfo
00000133	77D49B56	GetMenuItemCount
00000134	77D5C947	GetMenuItemID
00000135	77D4C4D5	GetMenuItemInfoA
00000136	77D51645	GetMenuItemInfoW
00000137	77D6B423	GetMenuItemRect
00000138	77D4C146	GetMenuState
00000139	77D5DCDD	GetMenuStringA
0000013A	77D6B6B3	GetMenuStringW
0000013B	77D44200	GetMessageA
0000013C	77D8E748	GetMessageExtraInfo
0000013D	77D4822B	GetMessagePos
0000013E	77D5BA5F	GetMessageTime
0000013F	77D440BF	GetMessageW
00000140	77D4B41B	GetMonitorInfoA
00000141	77D47A24	GetMonitorInfoW
00000142	77D99464	GetMouseMovePointsEx
