Export, WININET.dll
Ordinal	Address	Name
0000009D	762546FA	InternetGetPerSiteCookieDecisionW
0000009E	7623C162	InternetGoOnline
0000009F	7623C162	InternetGoOnlineA
000000A0	7623C070	InternetGoOnlineW
000000A1	7623B971	InternetHangUp
000000A2	762519C2	InternetInitializeAutoProxyDll
000000A3	76224357	InternetLockRequestFile
000000A4	7620AFB6	InternetOpenA
000000A5	76214750	InternetOpenUrlA
000000A6	7624079B	InternetOpenUrlW
000000A7	7621743B	InternetOpenW
000000A8	76221691	InternetQueryDataAvailable
000000A9	76243456	InternetQueryFortezzaStatus
000000AA	7620351F	InternetQueryOptionA
000000AB	76223CC1	InternetQueryOptionW
000000AC	7620BD61	InternetReadFile
000000AD	762254C7	InternetReadFileExA
000000AE	762406BE	InternetReadFileExW
000000AF	7626303F	InternetSecurityProtocolToStringA
000000B0	76240BBD	InternetSecurityProtocolToStringW
000000B1	76254FA7	InternetSetCookieA
000000B2	762551CA	InternetSetCookieExA
000000B3	76254FCA	InternetSetCookieExW
000000B4	76255359	InternetSetCookieW
000000B5	7623B2AF	InternetSetDialState
000000B6	7623B2AF	InternetSetDialStateA
000000B7	7623B2C8	InternetSetDialStateW
000000B8	7623F5F3	InternetSetFilePointer
000000B9	7621B3E9	InternetSetOptionA
000000BA	76240D41	InternetSetOptionExA
000000BB	76240D6B	InternetSetOptionExW
000000BC	7621B4BE	InternetSetOptionW
000000BD	7625459C	InternetSetPerSiteCookieDecisionA
000000BE	7625460D	InternetSetPerSiteCookieDecisionW
000000BF	76223DC4	InternetSetStatusCallback
000000C0	76223DC4	InternetSetStatusCallbackA
000000C1	76228E4C	InternetSetStatusCallbackW
000000C2	7623FAC0	InternetShowSecurityInfoByURL
000000C3	7623FAC0	InternetShowSecurityInfoByURLA
000000C4	76240A38	InternetShowSecurityInfoByURLW
000000C5	76214432	InternetTimeFromSystemTime
000000C6	76214432	InternetTimeFromSystemTimeA
000000C7	762554DB	InternetTimeFromSystemTimeW
000000C8	76226E67	InternetTimeToSystemTime
000000C9	76226E67	InternetTimeToSystemTimeA
000000CA	76226EB1	InternetTimeToSystemTimeW
000000CB	76225A9B	InternetUnlockRequestFile
000000CC	7623FBD6	InternetWriteFile
000000CD	762406BE	InternetWriteFileExA
000000CE	762406BE	InternetWriteFileExW
000000CF	76203FE1	IsHostInProxyBypassList
000000D0	7625BCBD	IsUrlCacheEntryExpiredA
000000D1	7625C2FD	IsUrlCacheEntryExpiredW
000000D2	7625C861	LoadUrlCacheContent
000000D3	76263115	ParseX509EncodedCertificateForListBoxEntry
000000D4	7622BA6C	PrivacyGetZonePreferenceW
000000D5	7625388A	PrivacySetZonePreferenceW
000000D6	76213FF4	ReadUrlCacheEntryStream
000000D7	7625CA00	RegisterUrlCacheNotification
000000D8	7624292B	ResumeSuspendedDownload
000000D9	7625B9E8	RetrieveUrlCacheEntryFileA
000000DA	7625C7F5	RetrieveUrlCacheEntryFileW
000000DB	762223B0	RetrieveUrlCacheEntryStreamA
000000DC	7622994B	RetrieveUrlCacheEntryStreamW
000000DD	7625CC3B	RunOnceUrlCache
000000DE	7625E235	SetUrlCacheConfigInfoA
000000DF	7625C0DF	SetUrlCacheConfigInfoW
000000E0	7625BB7D	SetUrlCacheEntryGroup
000000E1	7625BB7D	SetUrlCacheEntryGroupA
000000E2	7625C3A6	SetUrlCacheEntryGroupW
000000E3	76225E5C	SetUrlCacheEntryInfoA
000000E4	7625C0EC	SetUrlCacheEntryInfoW
000000E5	7625BC62	SetUrlCacheGroupAttributeA
000000E6	7625BEF7	SetUrlCacheGroupAttributeW
000000E7	7625C83D	SetUrlCacheHeaderData
000000E8	76263107	ShowCertificate
000000E9	7626310F	ShowClientAuthCerts
000000EA	76263792	ShowSecurityInfo
000000EB	76263F16	ShowX509EncodedCertificate
000000EC	76213FAE	UnlockUrlCacheEntryFile
000000ED	76213FAE	UnlockUrlCacheEntryFileA
000000EE	7625C257	UnlockUrlCacheEntryFileW
000000EF	76213F22	UnlockUrlCacheEntryStream
000000F0	7625C8C6	UpdateUrlCacheContentPath
000000F1	76228096	UrlZonesDetach
000000E1	76203AFC
000000E2	7621AA53
000000E3	7625E31A
000000E4	76253B10
000000E5	76253DE5
000000E6	7623CDA9
000000E7	7623D2F6
000000E8	7623D14E
000000E9	7623D6A8
000000EA	7625D6D4
000000EB	7622AD81
000000EC	76254A4D
000000ED	7625374B
000000EE	76256E97
000000EF	76257167
000000F0	76256D28
000000F1	76256D1C

